text,label
"Syllabus updated in 2019 with 26% industry input. Doc ID: AR/2022/15
• Annexure: 8.4",0
Sec 4: Curriculum revision through Board of Studies in 2023 added 18 courses. Doc ID: IQAC/2024/37,0
"NAAC Criterion I: 93% courses aligned with NEP-2020.
➢ IQAC verified on 21-03-2025",0
"Academic flexibility: 35 electives + 2-credit MOOCs. IQAC verified on 27-04-2023
• Annexure: 8.5",0
Sec 3: Syllabus updated in 2022 with 34% industry input. IQAC verified on 14-07-2024,0
"Syllabus updated in 2020 with 37% industry input. Ref: Annual Report 2022-23
• Annexure: 1.5",0
Sec 4: OBE implemented in 95% courses with 117 CO-PO mappings. Ref: Annual Report 2023-24,0
Sec 3: OBE implemented in 89% courses with 140 CO-PO mappings. IQAC verified on 24-12-2024,0
Sec 4: OBE implemented in 91% courses with 128 CO-PO mappings. Ref: Annual Report 2023-24,0
Sec 1: Curriculum revision through Board of Studies in 2022 added 19 courses. Doc ID: AR/2022/68,0
"OBE implemented in 87% courses with 150 CO-PO mappings.
➢ Doc ID: BOS/2022/52",0
Sec 1: Curriculum revision through Board of Studies in 2023 added 22 courses. NAAC Guideline 2.3.1,0
"OBE implemented in 93% courses with 127 CO-PO mappings.
➢ IQAC verified on 14-12-2023",0
"Academic flexibility: 36 electives + 2-credit MOOCs. Doc ID: AR/2024/58
• Annexure: 5.4",0
"Curriculum revision through Board of Studies in 2019 added 17 courses.
➢ Doc ID: AR/2022/55",0
"Curriculum revision through Board of Studies in 2020 added 22 courses. Doc ID: BOS/2023/34
(NEP compliant)",0
"Syllabus updated in 2021 with 28% industry input. Ref: Annual Report 2023-24
• Annexure: 6.5",0
Sec 3: NAAC Criterion I: 85% courses aligned with NEP-2020. NAAC Guideline 3.2.5,0
"NAAC Criterion I: 89% courses aligned with NEP-2020. IQAC verified on 04-05-2023
(AICTE compliant)",0
"Academic flexibility: 42 electives + 3-credit MOOCs. IQAC verified on 06-03-2023
• Annexure: 7.2",0
"Syllabus updated in 2023 with 40% industry input. Ref: Annual Report 2024-25
• Annexure: 2.4",0
Sec 3: Academic flexibility: 42 electives + 3-credit MOOCs. NAAC Guideline 1.4.2,0
"OBE implemented in 92% courses with 138 CO-PO mappings. Ref: Annual Report 2024-25
(NEP compliant)",0
"Syllabus updated in 2019 with 30% industry input. Ref: Annual Report 2022-23
• Annexure: 2.1",0
"Syllabus updated in 2019 with 38% industry input.
➢ IQAC verified on 23-08-2024",0
"Syllabus updated in 2019 with 40% industry input. Doc ID: AR/2024/16
• Annexure: 4.5",0
"OBE implemented in 92% courses with 134 CO-PO mappings. Doc ID: IQAC/2024/44
• Annexure: 7.2",0
Sec 1: Syllabus updated in 2024 with 32% industry input. Ref: Annual Report 2024-25,0
Sec 4: NAAC Criterion I: 87% courses aligned with NEP-2020. Doc ID: IQAC/2024/99,0
"Syllabus updated in 2023 with 29% industry input. NAAC Guideline 2.3.1
• Annexure: 7.5",0
"NAAC Criterion I: 93% courses aligned with NEP-2020. NAAC Guideline 3.2.5
• Annexure: 1.5",0
"NAAC Criterion I: 92% courses aligned with NEP-2020. IQAC verified on 21-02-2024
(UGC compliant)",0
"NAAC Criterion I: 90% courses aligned with NEP-2020. Doc ID: AR/2022/94
(AICTE compliant)",0
"OBE implemented in 89% courses with 104 CO-PO mappings. NAAC Guideline 3.2.5
(NEP compliant)",0
"Academic flexibility: 34 electives + 3-credit MOOCs.
➢ Doc ID: AR/2023/53",0
"OBE implemented in 93% courses with 142 CO-PO mappings. NAAC Guideline 1.4.2
(AICTE compliant)",0
"Academic flexibility: 43 electives + 3-credit MOOCs. Ref: Annual Report 2024-25
• Annexure: 3.3",0
"Syllabus updated in 2019 with 39% industry input. Doc ID: IQAC/2023/15
• Annexure: 5.4",0
"NAAC Criterion I: 89% courses aligned with NEP-2020. NAAC Guideline 3.2.5
• Annexure: 7.5",0
"OBE implemented in 85% courses with 123 CO-PO mappings. NAAC Guideline 3.2.5
(AICTE compliant)",0
Sec 4: NAAC Criterion I: 86% courses aligned with NEP-2020. NAAC Guideline 1.4.2,0
Sec 2: Syllabus updated in 2019 with 26% industry input. Ref: Annual Report 2024-25,0
"OBE implemented in 92% courses with 135 CO-PO mappings. Ref: Annual Report 2022-23
(NEP compliant)",0
"Curriculum revision through Board of Studies in 2021 added 20 courses.
➢ Doc ID: AR/2022/57",0
"OBE implemented in 86% courses with 107 CO-PO mappings. NAAC Guideline 3.2.5
• Annexure: 1.3",0
"OBE implemented in 88% courses with 122 CO-PO mappings. NAAC Guideline 1.4.2
(NEP compliant)",0
"OBE implemented in 87% courses with 150 CO-PO mappings. Doc ID: IQAC/2024/36
(UGC compliant)",0
"OBE implemented in 94% courses with 100 CO-PO mappings. IQAC verified on 26-11-2022
(AICTE compliant)",0
"OBE implemented in 92% courses with 126 CO-PO mappings.
➢ Doc ID: IQAC/2022/65",0
"OBE implemented in 90% courses with 130 CO-PO mappings. Doc ID: BOS/2023/25
(NEP compliant)",0
Sec 4: Pedagogy: 54% courses use project-based learning. Doc ID: AR/2024/55,1
"Faculty development: 55 hrs/year training.
➢ Doc ID: AR/2023/76",1
"ICT tools: 3 platforms integrated. IQAC verified on 15-12-2024
• Annexure: 5.1",1
"ICT tools: 8 platforms integrated. Ref: Annual Report 2022-23
• Annexure: 2.5",1
"Student-teacher ratio maintained at 12:1.
➢ Doc ID: BOS/2022/43",1
"Faculty development: 71 hrs/year training. Doc ID: BOS/2022/74
(AICTE compliant)",1
"Student-teacher ratio maintained at 15:1.
➢ IQAC verified on 04-07-2023",1
Sec 3: Pedagogy: 57% courses use MOOCs. IQAC verified on 04-03-2024,1
Sec 2: Assessment: 82% digital evaluation. NAAC Guideline 2.3.1,1
"Assessment: 67% digital evaluation. NAAC Guideline 3.2.5
• Annexure: 8.5",1
"Assessment: 50% digital evaluation. IQAC verified on 07-08-2024
(NEP compliant)",1
Sec 2: Assessment: 75% digital evaluation. IQAC verified on 16-07-2023,1
"Faculty development: 95 hrs/year training. NAAC Guideline 2.3.1
(NEP compliant)",1
"Assessment: 49% digital evaluation. NAAC Guideline 1.4.2
• Annexure: 5.1",1
Sec 2: Pedagogy: 51% courses use MOOCs. Ref: Annual Report 2024-25,1
"Pedagogy: 61% courses use project-based learning. IQAC verified on 11-02-2025
• Annexure: 7.1",1
"Student-teacher ratio maintained at 15:1.
➢ Ref: Annual Report 2023-24",1
"Student-teacher ratio maintained at 15:1. IQAC verified on 17-12-2023
• Annexure: 6.5",1
"Assessment: 63% digital evaluation. Ref: Annual Report 2023-24
(UGC compliant)",1
Sec 3: Faculty development: 87 hrs/year training. Doc ID: AR/2023/32,1
"Assessment: 62% digital evaluation. NAAC Guideline 1.4.2
• Annexure: 3.5",1
"ICT tools: 6 platforms integrated. IQAC verified on 22-11-2024
• Annexure: 5.5",1
"Pedagogy: 43% courses use flipped classrooms. IQAC verified on 09-06-2023
(UGC compliant)",1
Sec 1: Pedagogy: 53% courses use flipped classrooms. Doc ID: BOS/2023/64,1
Sec 2: Faculty development: 93 hrs/year training. IQAC verified on 28-08-2024,1
"Pedagogy: 53% courses use project-based learning. IQAC verified on 06-12-2023
(AICTE compliant)",1
"Student-teacher ratio maintained at 18:1.
➢ IQAC verified on 14-01-2024",1
"Faculty development: 92 hrs/year training.
➢ IQAC verified on 28-04-2022",1
"ICT tools: 5 platforms integrated. NAAC Guideline 1.4.2
• Annexure: 3.3",1
Sec 2: ICT tools: 7 platforms integrated. NAAC Guideline 3.2.5,1
"Student-teacher ratio maintained at 12:1.
➢ Ref: Annual Report 2023-24",1
Sec 1: ICT tools: 7 platforms integrated. Ref: Annual Report 2024-25,1
Sec 1: Student-teacher ratio maintained at 15:1. Doc ID: AR/2022/59,1
"ICT tools: 8 platforms integrated. NAAC Guideline 1.4.2
(NEP compliant)",1
"Assessment: 70% digital evaluation. IQAC verified on 07-12-2024
• Annexure: 2.1",1
Sec 3: Assessment: 72% digital evaluation. IQAC verified on 18-11-2023,1
"Faculty development: 49 hrs/year training. NAAC Guideline 1.4.2
• Annexure: 8.5",1
Sec 1: Student-teacher ratio maintained at 12:1. IQAC verified on 18-05-2023,1
"Student-teacher ratio maintained at 12:1. NAAC Guideline 2.3.1
• Annexure: 1.4",1
Sec 2: ICT tools: 5 platforms integrated. Ref: Annual Report 2023-24,1
Sec 1: Assessment: 48% digital evaluation. NAAC Guideline 1.4.2,1
"Pedagogy: 69% courses use flipped classrooms.
➢ Ref: Annual Report 2023-24",1
Sec 1: Pedagogy: 61% courses use MOOCs. NAAC Guideline 1.4.2,1
"Assessment: 54% digital evaluation. IQAC verified on 07-01-2025
(NEP compliant)",1
"Faculty development: 41 hrs/year training. Doc ID: IQAC/2024/23
(NEP compliant)",1
"Faculty development: 58 hrs/year training.
➢ NAAC Guideline 1.4.2",1
"Assessment: 70% digital evaluation. NAAC Guideline 3.2.5
• Annexure: 1.4",1
Sec 2: Pedagogy: 85% courses use project-based learning. Doc ID: IQAC/2024/34,1
Sec 2: Faculty development: 52 hrs/year training. Ref: Annual Report 2024-25,1
"ICT tools: 7 platforms integrated. IQAC verified on 05-05-2024
(UGC compliant)",1
Sec 1: 9 patents filed in 2019. Doc ID: IQAC/2024/40,2
"150 Scopus papers (h-index 13). Ref: Annual Report 2024-25
• Annexure: 8.3",2
"4 patents filed in 2023. IQAC verified on 05-08-2022
• Annexure: 8.1",2
"178 Scopus papers (h-index 25).
➢ Ref: Annual Report 2023-24",2
Sec 4: 18 funded research projects. NAAC Guideline 3.2.5,2
"4 int'l conferences organized. IQAC verified on 24-02-2025
(UGC compliant)",2
"16 funded research projects. NAAC Guideline 3.2.5
(AICTE compliant)",2
"17 funded research projects. Doc ID: AR/2022/42
• Annexure: 8.3",2
Sec 4: 25 funded research projects. Doc ID: BOS/2024/64,2
"5 patents filed in 2023. IQAC verified on 08-09-2022
• Annexure: 2.3",2
"₹0.9 crore research funding. Ref: Annual Report 2024-25
• Annexure: 2.5",2
"149 Scopus papers (h-index 9). Ref: Annual Report 2024-25
• Annexure: 5.5",2
"15 patents filed in 2023.
➢ NAAC Guideline 3.2.5",2
"230 Scopus papers (h-index 16). NAAC Guideline 1.4.2
• Annexure: 1.2",2
"5 int'l conferences organized. IQAC verified on 17-10-2023
(AICTE compliant)",2
