Response_ID,Timestamp,Curriculum_Design_Relevance,Teaching_Learning_Quality,Assessment_Process_Fairness,Infrastructure_Facilities,Library_Resources_Access,ICT_Resources_Availability,Student_Support_Services,Administrative_Efficiency,Extracurricular_Activities,Research_Innovation_Support,Gender_Sensitivity_Initiatives,Environmental_Sustainability,Value_Added_Courses,Grievance_Redressal_System,Overall_Institutional_Experience
RESP_0001,2023-09-30T00:00:00,3.864997068828545,3.78450601838722,3.0,4.0,3.1904753122117024,3.3568404515249837,2.1,3,3.294930368582284,2.5,3.6620383069568234,1.6136270696911543,2.4,4.0,3.2
RESP_0002,2023-12-07T00:00:00,3.5901799287461413,3.6853328541235006,3.3,4.0,3.551377974000773,2.5408842940572556,1.6,3,4,3.0,3.665228174990568,1.9251076579417905,3.5,4.0,3.4
RESP_0003,2023-11-02T00:00:00,3.9525256510977007,3.968462062663226,3.5,4.0,3.28772424017583,3.057591260530759,3.8,4,2.293063311770851,3.0,3.4524882277590248,1.8771023281352812,3.2,4.0,3.3
RESP_0004,2023-07-03T00:00:00,2.7097787095871344,3.334501396311893,3.8,4.0,3.8586539533817623,4,1.5,2,3.866381777702297,2.5,3.7980022699823284,1.4223578097628287,3.1,4.0,3.4
RESP_0005,2023-08-29T00:00:00,4,3.782933579416477,2.8,3.5,3.384647061160999,2.517236190668604,1.5,3,2.2149117358062247,3.0,3.314778150278843,2.0944441238063485,3.5,4.0,2.9
RESP_0006,2023-07-23T00:00:00,3.360391647680437,4,3.2,4.0,2.638525255232558,2.2334295255110823,2.4,2,4,2.5,3.96560539350799,1.9020750574336405,2.5,4.0,3.3
RESP_0007,2023-09-12T00:00:00,2.889725866537007,3.2192014533636035,3.0,3.5,2.897579424874719,2.3557741112969346,1.2,2,3.4691570635803735,2.5,3.3997086169520423,1.8086207220750004,2.9,4.0,2.6
RESP_0008,2023-08-10T00:00:00,3.7981928634324613,3.3162526102569148,3.7,4.0,3.2351122660672216,2.574736584598089,3.4,4,3.4086267862152897,3.0,3.567795287232977,1.1703916555333813,3.1,4.0,3.6
RESP_0009,2023-07-25T00:00:00,3.309319195612109,3.8880662495734795,3.6,4.0,2.702110304227666,2.4699440765274403,0.6,2,2.372275521684435,3.0,3.6763838556181696,2.7105262611682512,3.2,4.0,3.1
RESP_0010,2023-09-03T00:00:00,4,3.42415772435158,4.0,4.0,3.6684393534676776,3.3284702334540017,2.6,3,3.2739185494544394,3.0,3.9149256732072297,2.215114619975084,3.4,4.0,3.1
